,Region,Date,Confirmed,Week
0,Ayrshire and Arran,2020-03-01,0,08
1,Borders,2020-03-01,0,08
2,Dumfries and Galloway,2020-03-01,0,08
3,Fife,2020-03-01,0,08
4,Forth Valley,2020-03-01,0,08
5,Grampian,2020-03-01,0,08
6,Greater Glasgow and Clyde,2020-03-01,0,08
7,Highland,2020-03-01,0,08
8,Lanarkshire,2020-03-01,0,08
9,Lothian,2020-03-01,0,08
10,Orkney,2020-03-01,0,08
11,Shetland,2020-03-01,0,08
12,Tayside,2020-03-01,0,08
13,Western Isles,2020-03-01,0,08
14,Ayrshire and Arran,2020-03-02,0,09
15,Borders,2020-03-02,0,09
16,Dumfries and Galloway,2020-03-02,0,09
17,Fife,2020-03-02,0,09
18,Forth Valley,2020-03-02,0,09
19,Grampian,2020-03-02,0,09
20,Greater Glasgow and Clyde,2020-03-02,0,09
21,Highland,2020-03-02,0,09
22,Lanarkshire,2020-03-02,0,09
23,Lothian,2020-03-02,0,09
24,Orkney,2020-03-02,0,09
25,Shetland,2020-03-02,0,09
26,Tayside,2020-03-02,1,09
27,Western Isles,2020-03-02,0,09
28,Ayrshire and Arran,2020-03-03,0,09
29,Borders,2020-03-03,0,09
30,Dumfries and Galloway,2020-03-03,0,09
31,Fife,2020-03-03,0,09
32,Forth Valley,2020-03-03,0,09
33,Grampian,2020-03-03,0,09
34,Greater Glasgow and Clyde,2020-03-03,0,09
35,Highland,2020-03-03,0,09
36,Lanarkshire,2020-03-03,0,09
37,Lothian,2020-03-03,0,09
38,Orkney,2020-03-03,0,09
39,Shetland,2020-03-03,0,09
40,Tayside,2020-03-03,1,09
41,Western Isles,2020-03-03,0,09
42,Ayrshire and Arran,2020-03-04,1,09
43,Borders,2020-03-04,0,09
44,Dumfries and Galloway,2020-03-04,0,09
45,Fife,2020-03-04,0,09
46,Forth Valley,2020-03-04,0,09
47,Grampian,2020-03-04,1,09
48,Greater Glasgow and Clyde,2020-03-04,0,09
49,Highland,2020-03-04,0,09
50,Lanarkshire,2020-03-04,0,09
51,Lothian,2020-03-04,0,09
52,Orkney,2020-03-04,0,09
